Nom,Cores,Potència,Caché
AMD Ryzen™ 5 4600GE (OEM Only),6,Up to 4.2 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 5 4600G,6,Up to 4.2 GHz,"},"
AMD Ryzen™ 5 4500,6,Up to 4.1 GHz,{
AMD Ryzen™ 5 PRO 3600,6,Up to 4.2 GHz,"Name: ""AMD Ryzen™ Threadripper™ 2920X"","
AMD Ryzen™ 5 3600XT,6,Up to 4.5 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 5 3600X,6,Up to 4.4 GHz,"Max. Boost Clock: ""Up to 4.3 GHz"","
AMD Ryzen™ 5 3600,6,Up to 4.2 GHz,"L3 Cache: ""32 MB"""
AMD Ryzen™ 5 3500 Processor (OEM Only),6,Up to 4.1 GHz,"},"
AMD Ryzen™ 5 PRO 2600,6,Up to 3.9 GHz,{
AMD Ryzen™ 5 2600X,6,Up to 4.2 GHz,"Name: ""AMD Ryzen™ Threadripper™ 1920X"","
AMD Ryzen™ 5 2600E,6,Up to 4 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 5 2600,6,Up to 3.9 GHz,"Max. Boost Clock: ""Up to 4 GHz"","
AMD Ryzen™ 5 PRO 1600,6,Up to 3.6 GHz,"L3 Cache: ""32 MB"""
AMD Ryzen™ 5 1600X,6,Up to 4 GHz,"},"
AMD Ryzen™ 5 1600 (AF),6,Up to 3.6 GHz,{
AMD Ryzen™ 5 1600,6,Up to 3.6 GHz,"Name: ""AMD Ryzen™ Threadripper™ PRO 7945WX"","
FX-6350 with Wraith cooler,6,Up to 4.2 GHz,"# of CPU Cores: ""12"","
FX-6350,6,Up to 4.2 GHz,"Max. Boost Clock: ""Up to 5.3 GHz"","
FX-6300,6,Up to 3.8 GHz,"L3 Cache: ""64 MB"""
FX-6200,6,Up to 4.1 GHz,"},"
FX 6100,6,Up to 3.9 GHz,{
AMD Phenom™ II 1075T,6,,"Name: ""AMD Ryzen™ 9 PRO 7945"","
AMD Ryzen™ 3 PRO 8300GE,4,Up to 4.9 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 3 PRO 8300G,4,Up to 4.9 GHz,"Max. Boost Clock: ""Up to 5.4 GHz"","
AMD Ryzen™ 3 8300G,4,Up to 4.9 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 3 PRO 7335U,4,Up to 4.3 GHz,"},"
AMD Ryzen™ 5 7520U,4,Up to 4.3 GHz,{
AMD Ryzen™ 5 7520C,4,Up to 4.3 GHz,"Name: ""AMD Ryzen™ Threadripper™ PRO 5945WX"","
AMD Ryzen™ 3 7440U,4,Up to 4.7 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 3 7335U,4,Up to 4.3 GHz,"Max. Boost Clock: ""Up to 4.5 GHz"","
AMD Ryzen™ 3 7330U,4,Up to 4.3 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 3 7320U,4,Up to 4.1 GHz,"},"
AMD Ryzen™ 3 7320C,4,Up to 4.1 GHz,{
